Update 0: {'0': 0, '1': 0, '2': 0}
Update 1: {'0': 1.9000000000000001, '1': -0.30000000000000004, '2': -1.6}
Update 2: {'0': 1.8232, '1': -0.54, '2': -2.3007999999999997}
Update 3: {'0': 1.6084672, '1': -0.8717759999999999, '2': -2.7367167999999995}
Update 4: {'0': 1.3011983872000004, '1': -1.1978012159999998, '2': -3.0939731967999995}
Update 5: {'0': 0.9900147945472003, '1': -1.5161787740159995, '2': -3.4201477562367995}
Update 6: {'0': 0.6850629595267077, '1': -1.8226855247708151, '2': -3.7288421519392756}
Update 7: {'0': 0.3909657507125798, '1': -2.1172635034193745, '2': -4.023989430328281}
Update 8: {'0': 0.10821704511406809, '1': -2.4001300134390293, '2': -4.307011399802207}
Update 9: {'0': -0.16332349528037088, '1': -2.671704016931869, '2': -4.578626560734697}
Update 10: {'0': -0.42403132617605005, '1': -2.9324204887127205, '2': -4.839354147201408}
Update 11: {'0': -0.674318309560691, '1': -3.182709843601913, '2': -5.089646465635261}
Update 12: {'0': -0.9145958625898789, '1': -3.4229880224675258, '2': -5.329925441165886}
Update 13: {'0': -1.1452628542205705, '1': -3.6536551834574444, '2': -5.560592815195784}
Update 14: {'0': -1.3667033125124068, '1': -3.8750956868463087, '2': -5.78203337574681}
Update 15: {'0': -1.5792861914364018, '1': -4.0876785779036915, '2': -5.994616282108642}
Update 16: {'0': -1.783365765686684, '1': -4.29175815539685, '2': -6.19869586370506}
Update 17: {'0': -1.9792821597687995, '1': -4.487674550349388, '2': -6.394612259756741}
Update 18: {'0': -2.1673618988396752, '1': -4.6757542896532565, '2': -6.582691999355205}
Update 19: {'0': -2.3479184485490223, '1': -4.856310839425079, '2': -6.763248549205958}
Update 20: {'0': -2.5212527363239747, '1': -5.029645127216766, '2': -6.936582837018797}
Update 21: {'0': -2.6876536526023873, '1': -5.196046043499664, '2': -7.102983753307362}
Update 22: {'0': -2.847398532233539, '1': -5.355790923132017, '2': -7.262728632941234}
Update 23: {'0': -3.000753616680482, '1': -5.509146007579282, '2': -7.416083717388906}
Update 24: {'0': -3.1479744977498267, '1': -5.656366888648713, '2': -7.563304598458446}
Update 25: {'0': -3.289306543576471, '1': -5.797698934475381, '2': -7.704636644285143}
Update 26: {'0': -3.4249853075700702, '1': -5.933377698468986, '2': -7.840315408278755}
Update 27: {'0': -3.5552369210039303, '1': -6.063629311902847, '2': -7.97056702171262}
Update 28: {'0': -3.680278469900437, '1': -6.1886708607993555, '2': -8.095608570609128}
Update 29: {'0': -3.8003183568410854, '1': -6.308710747740004, '2': -8.215648457549776}
Update 30: {'0': -3.9155566483041078, '1': -6.423949039203025, '2': -8.330886749012798}
Update 31: {'0': -4.026185408108608, '1': -6.534577799007526, '2': -8.441515508817298}
Update 32: {'0': -4.1323890175209295, '1': -6.640781408419848, '2': -8.54771911822962}
Update 33: {'0': -4.234344482556757, '1': -6.742736873455676, '2': -8.649674583265448}
Update 34: {'0': -4.332221728991152, '1': -6.84061411989007, '2': -8.747551829699843}
Update 35: {'0': -4.426183885568171, '1': -6.934576276467089, '2': -8.841513986276862}
Update 36: {'0': -4.516387555882109, '1': -7.0247799467810275, '2': -8.9317176565908}
Update 37: {'0': -4.60298307938349, '1': -7.111375470282408, '2': -9.018313180092182}
Update 38: {'0': -4.6861147819448155, '1': -7.194507172843734, '2': -9.101444882653507}
Update 39: {'0': -4.765921216403688, '1': -7.274313607302607, '2': -9.18125131711238}
Update 40: {'0': -4.842535393484206, '1': -7.350927784383125, '2': -9.257865494192897}
Update 41: {'0': -4.916085003481504, '1': -7.424477394380421, '2': -9.331415104190194}
Update 42: {'0': -4.986692629078908, '1': -7.495085019977827, '2': -9.4020227297876}
Update 43: {'0': -5.054475949652417, '1': -7.562868340551335, '2': -9.469806050361107}
Update 44: {'0': -5.119547937402985, '1': -7.627940328301904, '2': -9.534878038111676}
Update 45: {'0': -5.182017045643531, '1': -7.690409436542449, '2': -9.597347146352222}
Update 46: {'0': -5.241987389554454, '1': -7.750379780453373, '2': -9.657317490263146}
Update 47: {'0': -5.299558919708941, '1': -7.807951310607859, '2': -9.714889020417633}
Update 48: {'0': -5.354827588657248, '1': -7.863219979556167, '2': -9.77015768936594}
Update 49: {'0': -5.407885510847624, '1': -7.9162779017465414, '2': -9.823215611556314}
Update 50: {'0': -5.458821116150384, '1': -7.967213507049302, '2': -9.874151216859076}
Update 51: {'0': -5.507719297241033, '1': -8.01611168813995, '2': -9.923049397949725}
Update 52: {'0': -5.554661551088056, '1': -8.063053941986976, '2': -9.969991651796748}
Update 53: {'0': -5.5997261147812, '1': -8.108118505680117, '2': -10.015056215489892}
Update 54: {'0': -5.642988095926617, '1': -8.151380486825536, '2': -10.058318196635309}
Update 55: {'0': -5.684519597826219, '1': -8.192911988725136, '2': -10.09984969853491}
Update 56: {'0': -5.7243898396498345, '1': -8.232782230548754, '2': -10.139719940358527}
Update 57: {'0': -5.762665271800508, '1': -8.271057662699425, '2': -10.177995372509198}
